,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,RW,76,0,1,0,0,3,0,0,0,29,1,0,1,0.3,0.3,0.5,3,1,18,23,78.3,3,21,2,0,0,/en/matches/c18d3207/Chelsea-Liverpool-August-13-2023-Premier-League
1,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,"RW,FW",85,1,0,0,1,4,2,0,0,44,1,0,1,1.2,0.3,0.0,3,1,28,33,84.8,4,30,2,3,0,/en/matches/80bebdbb/Liverpool-Bournemouth-August-19-2023-Premier-League
2,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"FW,RW,RM",90,0,1,0,0,2,1,0,0,36,1,1,0,0.2,0.2,0.4,4,2,23,24,95.8,1,28,1,5,3,/en/matches/b31156ab/Newcastle-United-Liverpool-August-27-2023-Premier-League
3,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,RW,90,1,0,0,0,4,3,0,0,40,2,0,0,0.8,0.8,0.4,5,0,22,27,81.5,4,24,3,3,0,/en/matches/bdbc722e/Liverpool-Aston-Villa-September-3-2023-Premier-League
4,2023-09-12,Tue,Friendlies (M),Friendlies (M),Home,L 1–3,eg Egypt,tn Tunisia,Y*,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/5074b7ec/Egypt-Tunisia-September-12-2023-Friendlies-M
5,2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"RW,FW",89,0,2,0,0,1,0,0,0,31,1,0,0,0.2,0.2,1.6,6,2,19,25,76.0,2,19,2,3,0,/en/matches/38daebd2/Wolverhampton-Wanderers-Liverpool-September-16-2023-Premier-League
6,2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,eng Liverpool,at LASK,N,RW,17,1,0,0,0,2,1,0,0,16,0,0,0,0.4,0.4,0.0,1,0,6,12,50.0,1,8,1,2,1,/en/matches/1b1f3de6/LASK-Liverpool-September-21-2023-Europa-League
7,2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,RW,90,1,0,1,1,4,1,0,0,57,1,0,0,1.0,0.2,0.6,5,1,29,43,67.4,8,51,7,4,2,/en/matches/90adf8b3/Liverpool-West-Ham-United-September-24-2023-Premier-League
8,2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,"FW,RW,RM",73,0,0,0,0,1,0,1,0,30,0,0,0,0.0,0.0,0.7,3,0,13,21,61.9,3,22,6,5,1,/en/matches/ec4145b4/Tottenham-Hotspur-Liverpool-September-30-2023-Premier-League
9,2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,eng Liverpool,be Union SG,Y,RW,45,0,0,0,0,2,2,0,0,19,0,0,0,0.5,0.5,0.6,3,0,14,16,87.5,1,13,0,0,0,/en/matches/bcfbaac5/Liverpool-Union-SG-October-5-2023-Europa-League
