,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2021-09-11,Sat,Matchweek 6,Away,L 0–2,Norwich City,Everton,Y,CM,68,0,0,0,0,3,2,0,0,54,1,2,0,0.1,0.1,0.0,4,0,32,44,72.7,4,29,1,4,2,/en/matches/d516ccbf/Everton-Norwich-City-September-25-2021-Premier-League
1,2021-09-11,Sat,Matchweek 7,Away,D 0–0,Norwich City,Burnley,Y,CM,90,0,0,0,0,2,1,1,0,67,2,0,3,0.3,0.3,0.0,3,0,32,47,68.1,4,33,3,3,2,/en/matches/9231df9a/Burnley-Norwich-City-October-2-2021-Premier-League
2,2021-09-11,Sat,Matchweek 8,Home,D 0–0,Norwich City,Brighton,Y,CM,82,0,0,0,0,3,0,0,0,37,0,1,0,0.1,0.1,0.0,5,0,15,29,51.7,1,12,1,2,2,/en/matches/bc0a1eb5/Norwich-City-Brighton-and-Hove-Albion-October-16-2021-Premier-League
3,2021-09-11,Sat,Matchweek 9,Away,L 0–7,Norwich City,Chelsea,Y,CM,90,0,0,0,0,1,0,1,0,47,0,0,0,0.0,0.0,0.0,2,0,27,38,71.1,1,30,1,2,2,/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
4,2021-09-11,Sun,Matchweek 10,Home,L 1–2,Norwich City,Leeds United,Y,CM,90,0,0,0,0,2,0,0,0,49,3,1,3,0.0,0.0,0.0,2,0,20,36,55.6,4,23,0,5,4,/en/matches/52daf8d4/Norwich-City-Leeds-United-October-31-2021-Premier-League
5,2021-09-11,Sat,Matchweek 11,Away,W 2–1,Norwich City,Brentford,Y,DM,90,1,0,0,0,2,1,1,0,53,3,2,1,0.1,0.1,0.0,1,1,23,36,63.9,5,20,2,2,1,/en/matches/0f029791/Brentford-Norwich-City-November-6-2021-Premier-League
6,2021-09-11,Sat,Matchweek 12,Home,W 2–1,Norwich City,Southampton,Y,CM,90,0,0,0,0,1,0,1,0,57,3,1,0,0.0,0.0,0.1,2,0,28,46,60.9,5,33,0,1,0,/en/matches/4bddaba4/Norwich-City-Southampton-November-20-2021-Premier-League
7,2021-09-11,Sat,Matchweek 13,Home,D 0–0,Norwich City,Wolves,Y,DM,34,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,1,0,13,20,65.0,2,14,0,0,0,/en/matches/ff3bd755/Norwich-City-Wolverhampton-Wanderers-November-27-2021-Premier-League
8,2021-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-09-11,Wed,Matchweek 24,Home,D 1–1,Norwich City,Crystal Palace,N,CM,17,0,0,0,0,0,0,0,0,10,0,1,1,0.0,0.0,0.0,0,0,3,8,37.5,0,4,0,0,0,/en/matches/22d9fbc9/Norwich-City-Crystal-Palace-February-9-2022-Premier-League
