,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Fri,Premier League,Matchweek 1,Away,W 3–0,Manchester City,Burnley,Y,CB,78,0,0,0,0,1,0,0,0,79,3,2,0,0.3,0.3,0.0,2,1,65,69,94.2,1,53,1,0,0,Match Report
1,Wed,Super Cup,UEFA Super Cup,Home,D 1 (5)–1 (4),eng Manchester City,es Sevilla,Y,CB,90,0,0,0,0,2,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
2,Sat,Premier League,Matchweek 2,Home,W 1–0,Manchester City,Newcastle Utd,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sun,Premier League,Matchweek 3,Away,W 2–1,Manchester City,Sheffield Utd,Y,CB,90,0,0,0,0,1,0,0,0,89,1,2,0,0.1,0.1,0.0,2,0,79,81,97.5,4,66,1,0,0,Match Report
4,Sat,Premier League,Matchweek 4,Home,W 5–1,Manchester City,Fulham,Y,LB,90,1,0,0,0,1,1,0,0,101,2,1,0,0.0,0.0,0.0,0,0,84,96,87.5,6,55,1,0,0,Match Report
5,Thu,Euro Qualifying,Group stage,Home,W 3–0,nl Netherlands,gr Greece,Y,CB,45,0,0,0,0,1,0,1,0,,,0,,,,,,,,,,,,,,,Match Report
6,Sun,Euro Qualifying,Group stage,Away,W 2–1,nl Netherlands,ie Rep. of Ireland,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
7,Sat,Premier League,Matchweek 5,Away,W 3–1,Manchester City,West Ham,N,LB,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Match Report
8,Tue,Champions Lg,Group stage,Home,W 3–1,eng Manchester City,rs Red Star,Y,"CB,LB",90,0,0,0,0,2,2,0,0,103,1,0,0,0.1,0.1,0.0,9,1,91,97,93.8,12,71,3,1,1,Match Report
9,Sat,Premier League,Matchweek 6,Home,W 2–0,Manchester City,Nott'ham Forest,N,LB,34,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.5,1,0,5,8,62.5,0,2,0,0,0,Match Report
10,,,,,8-1-0,,,7/9,,608,1,0,0,0,8,5,1,0,382,7,6,0,0.5,0.5,0.6,14,2,325,352,92.3,23,248,6,1,1,
