,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-11,Fri,Ligue 1,Matchweek 1,Away,D 1–1,Lille,Nice,Y,DM,60,0,0,0,0,2,1,0,0,53.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,37.0,41.0,90.2,3.0,41.0,1.0,0.0,0.0,/en/matches/ff59d311/Nice-Lille-August-11-2023-Ligue-1,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-20,Sun,Ligue 1,Matchweek 2,Home,W 2–0,Lille,Nantes,N,DM,1,0,0,0,0,0,0,0,0,6.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,/en/matches/31fe99c8/Lille-Nantes-August-20-2023-Ligue-1,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Brighton,Bournemouth,N,DM,17,0,0,0,0,0,0,0,0,12.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,2.0,5.0,0.0,0.0,0.0,/en/matches/5593f16c/Brighton-and-Hove-Albion-Bournemouth-September-24-2023-Premier-League,1.0,0.5,0.53125
3,3,3,3,3,3,3,3,3,3,3,3,3,2023-09-27,Wed,EFL Cup,Third round,Away,L 0–1,Brighton,Chelsea,Y,DM,63,0,0,0,0,2,0,1,0,,,1,,,,,,,,,,,,,,,/en/matches/4761dbfb/Chelsea-Brighton-and-Hove-Albion-September-27-2023-EFL-Cup,0.0,0.8333333333333334,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–6,Brighton,Aston Villa,N,CM,5,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,100.0,0.0,4.0,0.0,0.0,0.0,/en/matches/2df9a3a1/Aston-Villa-Brighton-and-Hove-Albion-September-30-2023-Premier-League,0.0,0.6666666666666666,0.3928571428571428
5,5,5,5,5,5,5,5,5,5,5,5,5,2023-10-08,Sun,Premier League,Matchweek 8,Home,D 2–2,Brighton,Liverpool,Y,DM,90,0,0,0,0,1,0,1,0,38.0,2.0,3,6.0,0.1,0.1,0.0,0.0,0.0,22.0,26.0,84.6,1.0,16.0,0.0,2.0,2.0,/en/matches/3b1ec657/Brighton-and-Hove-Albion-Liverpool-October-8-2023-Premier-League,0.5,0.3333333333333333,0.7142857142857142
6,6,6,6,6,6,6,6,6,6,6,6,6,2023-10-21,Sat,Premier League,Matchweek 9,Away,L 1–2,Brighton,Manchester City,Y,DM,65,0,0,0,0,0,0,0,0,38.0,4.0,3,2.0,0.0,0.0,0.0,1.0,0.0,23.0,27.0,85.2,1.0,22.0,1.0,1.0,0.0,/en/matches/b782a834/Manchester-City-Brighton-and-Hove-Albion-October-21-2023-Premier-League,0.0,0.1666666666666666,0.5952380952380951
7,7,7,7,7,7,7,7,7,7,7,7,7,2023-10-26,Thu,Europa Lg,Group stage,Home,W 2–0,eng Brighton,nl Ajax,N,CM,27,0,0,0,0,0,0,0,0,40.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,37.0,97.3,0.0,30.0,0.0,0.0,0.0,/en/matches/cd2c07a6/Brighton-and-Hove-Albion-Ajax-October-26-2023-Europa-League,1.0,0.1666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,2023-10-29,Sun,Premier League,Matchweek 10,Home,D 1–1,Brighton,Fulham,Y,CM,70,0,0,0,0,4,1,0,0,67.0,3.0,0,2.0,0.2,0.2,0.0,0.0,0.0,53.0,54.0,98.1,3.0,41.0,1.0,0.0,0.0,/en/matches/a0c422e9/Brighton-and-Hove-Albion-Fulham-October-29-2023-Premier-League,0.5,0.5,0.4479166666666666
9,9,9,9,9,9,9,9,9,9,9,9,9,2023-11-09,Thu,Europa Lg,Group stage,Away,W 2–0,eng Brighton,nl Ajax,N,DM,14,0,0,0,0,0,0,0,0,6.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,3.0,0.0,1.0,1.0,/en/matches/287a023b/Ajax-Brighton-and-Hove-Albion-November-9-2023-Europa-League,1.0,0.5,0.5
10,10,10,10,10,10,10,10,10,10,10,10,10,2023-11-12,Sun,Premier League,Matchweek 12,Home,D 1–1,Brighton,Sheffield Utd,N,CM,20,0,0,0,0,0,0,1,0,12.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,1.0,6.0,0.0,1.0,0.0,/en/matches/ebf41e41/Brighton-and-Hove-Albion-Sheffield-United-November-12-2023-Premier-League,0.5,0.8333333333333334,0.3095238095238096
