,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2021-08-22,Sat,Matchweek 4,Away,L 0–3,Tottenham,Crystal Palace,Y,FW,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50.0,/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
1,2021-08-22,Sun,Matchweek 5,Home,L 0–3,Tottenham,Chelsea,Y,AM,90,0,0,0,2,2,0,2,0,0,0,0,0,3,2,4,33.3,/en/matches/eaf98461/Tottenham-Hotspur-Chelsea-September-19-2021-Premier-League
2,2021-08-22,Sun,Matchweek 6,Away,L 1–3,Tottenham,Arsenal,Y,FW,90,0,0,0,1,1,2,0,0,0,0,0,0,2,1,2,33.3,/en/matches/a2c07e97/North-London-Derby-Arsenal-Tottenham-Hotspur-September-26-2021-Premier-League
3,2021-08-22,Sun,Matchweek 7,Home,W 2–1,Tottenham,Aston Villa,Y,FW,90,0,0,0,3,3,0,1,0,0,0,0,0,2,4,7,36.4,/en/matches/7bb0a43c/Tottenham-Hotspur-Aston-Villa-October-3-2021-Premier-League
4,2021-08-22,Sun,Matchweek 8,Away,W 3–2,Tottenham,Newcastle Utd,Y,FW,90,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7,12.5,/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
5,2021-08-22,Sun,Matchweek 9,Away,L 0–1,Tottenham,West Ham,Y,FW,90,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,66.7,/en/matches/70c508ee/West-Ham-United-Tottenham-Hotspur-October-24-2021-Premier-League
6,2021-08-22,Sat,Matchweek 10,Home,L 0–3,Tottenham,Manchester Utd,Y,FW,90,0,0,0,2,0,0,1,1,1,0,0,0,3,1,2,33.3,/en/matches/5a2b8c26/Tottenham-Hotspur-Manchester-United-October-30-2021-Premier-League
7,2021-08-22,Sun,Matchweek 11,Away,D 0–0,Tottenham,Everton,Y,FW,90,0,0,0,1,1,0,1,0,0,0,0,0,8,2,1,66.7,/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
8,2021-08-22,Sun,Matchweek 12,Home,W 2–1,Tottenham,Leeds United,Y,FW,90,0,0,0,2,2,2,0,0,1,0,0,0,1,2,1,66.7,/en/matches/a74a684e/Tottenham-Hotspur-Leeds-United-November-21-2021-Premier-League
9,2021-08-22,Thu,Matchweek 14,Home,W 2–0,Tottenham,Brentford,Y,FW,90,0,0,0,2,1,0,0,0,0,0,0,0,2,4,4,50.0,/en/matches/a80b3790/Tottenham-Hotspur-Brentford-December-2-2021-Premier-League
10,2021-08-22,Sun,Matchweek 15,Home,W 3–0,Tottenham,Norwich City,Y,FW,90,0,0,0,3,1,0,1,0,0,0,0,0,2,3,2,60.0,/en/matches/78e62deb/Tottenham-Hotspur-Norwich-City-December-5-2021-Premier-League
11,2021-08-22,Sun,Matchweek 18,Home,D 2–2,Tottenham,Liverpool,Y,FW,90,1,0,0,1,1,1,0,0,0,0,0,0,2,2,0,100.0,/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
12,2021-08-22,Sun,Matchweek 19,Home,W 3–0,Tottenham,Crystal Palace,Y,FW,63,0,0,0,2,1,0,2,0,0,0,0,0,1,0,0,,/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
13,2021-08-22,Tue,Matchweek 20,Away,D 1–1,Tottenham,Southampton,Y,FW,90,0,0,0,0,2,2,1,0,0,0,0,0,1,1,5,16.7,/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League
14,2021-08-22,Sat,Matchweek 21,Away,W 1–0,Tottenham,Watford,Y,FW,90,0,0,0,1,2,2,2,0,0,0,0,0,1,6,5,54.5,/en/matches/9c831c07/Watford-Tottenham-Hotspur-January-1-2022-Premier-League
15,2021-08-22,Wed,Matchweek 17,Away,W 3–2,Tottenham,Leicester City,Y,FW,90,0,0,0,3,1,0,1,0,0,0,0,0,7,4,2,66.7,/en/matches/77d28549/Leicester-City-Tottenham-Hotspur-January-19-2022-Premier-League
16,2021-08-22,Sun,Matchweek 23,Away,L 0–2,Tottenham,Chelsea,Y,FW,90,0,0,0,3,3,0,1,0,0,0,0,0,5,1,1,50.0,/en/matches/29e164e3/Chelsea-Tottenham-Hotspur-January-23-2022-Premier-League
17,2021-08-22,Wed,Matchweek 24,Home,L 2–3,Tottenham,Southampton,Y,FW,90,0,0,0,0,1,1,3,0,0,0,0,0,0,2,0,100.0,/en/matches/0613df22/Tottenham-Hotspur-Southampton-February-9-2022-Premier-League
18,2021-08-22,Sun,Matchweek 25,Home,L 0–2,Tottenham,Wolves,Y,FW,90,0,0,0,0,0,0,2,0,0,0,0,0,7,3,0,100.0,/en/matches/fe93b491/Tottenham-Hotspur-Wolverhampton-Wanderers-February-13-2022-Premier-League
19,2021-08-22,Sat,Matchweek 26,Away,W 3–2,Tottenham,Manchester City,Y,FW,90,0,0,0,1,0,1,0,1,0,0,0,0,3,3,4,42.9,/en/matches/cd797899/Manchester-City-Tottenham-Hotspur-February-19-2022-Premier-League
20,2021-08-22,Wed,Matchweek 13,Away,L 0–1,Tottenham,Burnley,Y,FW,90,0,0,0,0,1,0,4,0,0,0,0,0,1,2,3,40.0,/en/matches/f8d646cb/Burnley-Tottenham-Hotspur-February-23-2022-Premier-League
21,2021-08-22,Sat,Matchweek 27,Away,W 4–0,Tottenham,Leeds United,Y,FW,90,0,0,0,0,2,0,0,0,0,0,0,0,2,1,2,33.3,/en/matches/05d37de9/Leeds-United-Tottenham-Hotspur-February-26-2022-Premier-League
