,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sun,Community Shield,FA Community Shield,Neutral,D 1 (4)–1 (1),Arsenal,Manchester City,Y,FW,90,0,1,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
1,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,RW,90,1,0,0,0,3,2,0,0,81,5,0,1,0.2,0.2,0.1,4,0,49,67,73.1,3,62,11,2,0,Match Report
2,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,"RW,LB",88,0,0,0,0,3,0,0,0,70,2,1,2,0.2,0.2,0.2,7,0,37,56,66.1,5,42,8,2,1,Match Report
3,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y,RW,90,1,0,1,1,2,1,0,0,86,2,0,4,1.4,0.6,0.5,5,1,52,67,77.6,4,52,6,10,6,Match Report
4,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y,RW,90,0,1,0,0,3,1,1,0,49,3,0,0,0.4,0.4,0.4,7,1,35,39,89.7,5,29,1,2,1,Match Report
5,Sat,Euro Qualifying,Group stage,Away,D 1–1,eng England,ua Ukraine,Y,FW,85,0,0,0,0,3,1,0,0,,,1,,,,,,,,,,,,,,,Match Report
6,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,eng England,sct Scotland,N,,20,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
7,Sun,Premier League,Matchweek 5,Away,W 1–0,Arsenal,Everton,Y,RW,90,0,1,0,0,0,0,0,0,56,1,0,2,0.0,0.0,0.1,3,1,39,46,84.8,3,36,1,7,2,Match Report
8,Wed,Champions Lg,Group stage,Home,W 4–0,eng Arsenal,nl PSV Eindhoven,Y,RW,68,1,1,0,0,1,1,0,0,43,0,0,2,0.3,0.3,0.3,3,1,26,35,74.3,3,30,5,3,2,Match Report
9,Sun,Premier League,Matchweek 6,Home,D 2–2,Arsenal,Tottenham,Y,RW,89,1,0,1,1,2,1,0,0,50,4,1,2,0.9,0.1,0.5,7,0,28,37,75.7,3,25,9,4,2,Match Report
10,,,,,6-4-0,,,9/10,,800,4,4,2,2,19,7,1,0,435,17,3,13,3.4,1.8,2.1,36,4,266,347,76.7,26,276,41,30,14,
