,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sat,Premier League,Matchweek 1,Home,W 4–1,Tottenham,Southampton,Y,CB,90,0,0,0,0,2,0,0,0,80,0,1,0,0.2,0.2,0.0,0,0,63,74,85.1,6,42,0,1,1,Match Report
1,Sun,Premier League,Matchweek 2,Away,D 2–2,Tottenham,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,63,7,1,1,0.0,0.0,0.0,0,0,37,43,86.0,3,32,1,4,3,Match Report
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sat,Premier League,Matchweek 6,Home,W 2–1,Tottenham,Fulham,Y,CB,90,0,0,0,0,2,2,1,0,63,2,3,0,0.4,0.4,0.0,0,0,50,53,94.3,2,52,0,1,1,Match Report
4,Wed,Champions Lg,Group stage,Home,W 2–0,eng Tottenham,fr Marseille,Y,CB,72,0,0,0,0,0,0,0,0,68,2,1,1,0.0,0.0,0.0,1,0,54,62,87.1,2,51,0,0,0,Match Report
5,Tue,Champions Lg,Group stage,Away,L 0–2,eng Tottenham,pt Sporting CP,Y,CB,90,0,0,0,0,0,0,0,0,60,1,1,0,0.0,0.0,0.1,3,0,53,57,93.0,5,45,3,1,0,Match Report
6,Sat,Premier League,Matchweek 8,Home,W 6–2,Tottenham,Leicester City,N,CB,32,0,0,0,0,0,0,0,0,27,1,1,1,0.0,0.0,0.0,0,0,23,24,95.8,0,19,0,0,0,Match Report
7,Tue,Friendlies (M),Friendlies (M),Neutral,W 3–0,ar Argentina,jm Jamaica,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
8,Sat,Premier League,Matchweek 9,Away,L 1–3,Tottenham,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,52,3,0,3,0.0,0.0,0.0,0,0,26,35,74.3,0,27,0,1,0,Match Report
9,Tue,Champions Lg,Group stage,Away,D 0–0,eng Tottenham,de Eint Frankfurt,Y,CB,90,0,0,0,0,0,0,0,0,89,4,2,1,0.0,0.0,0.0,1,0,73,79,92.4,5,52,2,0,0,Match Report
10,Sat,Premier League,Matchweek 10,Away,W 1–0,Tottenham,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,68,2,1,1,0.0,0.0,0.2,1,0,52,60,86.7,4,46,2,0,0,Match Report
11,Wed,Champions Lg,Group stage,Home,W 3–2,eng Tottenham,de Eint Frankfurt,Y,CB,90,0,0,0,0,1,1,0,0,86,1,3,1,0.1,0.1,0.0,0,0,69,77,89.6,4,52,1,0,0,Match Report
12,Sat,Premier League,Matchweek 11,Home,W 2–0,Tottenham,Everton,Y,CB,86,0,0,0,0,1,0,0,0,86,2,1,0,0.0,0.0,0.1,3,0,68,77,88.3,9,55,4,0,0,Match Report
13,Wed,Premier League,Matchweek 12,Away,L 0–2,Tottenham,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,84,2,3,5,0.0,0.0,0.0,1,0,64,74,86.5,4,51,0,0,0,Match Report
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Wed,Champions Lg,Group stage,Home,D 1–1,eng Tottenham,pt Sporting CP,Y,CB,90,0,0,0,0,1,0,1,0,72,5,2,0,0.1,0.1,0.0,1,0,63,66,95.5,5,45,2,1,0,Match Report
16,Tue,World Cup,Group stage,Neutral,L 1–2,ar Argentina,sa Saudi Arabia,Y,CB,58,0,0,0,0,0,0,0,0,67,1,0,1,0.0,0.0,0.0,1,0,58,64,90.6,2,56,0,1,1,Match Report
17,Sat,World Cup,Group stage,Neutral,W 2–0,ar Argentina,mx Mexico,N,CB,22,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,Match Report
18,Wed,World Cup,Group stage,Neutral,W 2–0,ar Argentina,pl Poland,Y,CB,90,0,0,0,0,0,0,0,0,81,0,0,0,0.0,0.0,0.0,0,0,70,78,89.7,3,62,1,0,0,Match Report
19,Sat,World Cup,Round of 16,Neutral,W 2–1,ar Argentina,au Australia,Y,CB,90,0,0,0,0,0,0,0,0,84,1,1,1,0.0,0.0,0.0,0,0,73,79,92.4,3,58,0,0,0,Match Report
20,Fri,World Cup,Quarter-finals,Neutral,D 2 (4)–2 (3),ar Argentina,nl Netherlands,Y,CB,77,0,0,0,0,0,0,1,0,55,2,1,0,0.0,0.0,0.0,1,1,44,47,93.6,2,42,2,0,0,Match Report
21,Tue,World Cup,Semi-finals,Neutral,W 3–0,ar Argentina,hr Croatia,Y,CB,90,0,0,0,0,0,0,1,0,43,1,0,3,0.0,0.0,0.0,0,0,28,33,84.8,0,27,1,0,0,Match Report
22,Sun,World Cup,Final,Neutral,D 3 (4)–3 (2),ar Argentina,fr France,Y,CB,120,0,0,0,0,0,0,0,0,87,0,2,1,0.0,0.0,0.0,1,0,60,70,85.7,5,48,0,0,0,Match Report
