,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
0,2022-10-09,Wed,Matchweek 12,Away,L 0–1,Everton,Newcastle Utd,Y,FW,72,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,/en/matches/e6674f8d/Newcastle-United-Everton-October-19-2022-Premier-League
1,2022-10-09,Sat,Matchweek 13,Home,W 3–0,Everton,Crystal Palace,Y,FW,77,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,/en/matches/24d23a55/Everton-Crystal-Palace-October-22-2022-Premier-League
2,2022-10-09,Sat,Matchweek 14,Away,D 0–0,Everton,Fulham,Y,FW,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,/en/matches/9c4402e1/Fulham-Everton-October-29-2022-Premier-League
3,2022-10-09,Sat,Matchweek 15,Home,L 0–2,Everton,Leicester City,Y,FW,60,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,/en/matches/831c73fc/Everton-Leicester-City-November-5-2022-Premier-League
4,2022-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022-10-09,Sat,Matchweek 18,Away,D 1–1,Everton,Manchester City,Y,FW,69,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,/en/matches/bcfb66ff/Manchester-City-Everton-December-31-2022-Premier-League
6,2022-10-09,Tue,Matchweek 19,Home,L 1–4,Everton,Brighton,Y,FW,82,1,0,1,0,0,0,0,,0,1,0,1,0,1,1,0,/en/matches/c62d7632/Everton-Brighton-and-Hove-Albion-January-3-2023-Premier-League
7,2022-10-09,Sat,Matchweek 20,Home,L 1–2,Everton,Southampton,Y,FW,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,/en/matches/11603f7f/Everton-Southampton-January-14-2023-Premier-League
8,2022-10-09,Sat,Matchweek 21,Away,L 0–2,Everton,West Ham,Y,FW,90,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,/en/matches/db9cdba8/West-Ham-United-Everton-January-21-2023-Premier-League
9,2022-10-09,Sat,Matchweek 22,Home,W 1–0,Everton,Arsenal,Y,FW,61,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,/en/matches/07fc721a/Everton-Arsenal-February-4-2023-Premier-League
10,2022-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022-10-09,Sat,Matchweek 32,Away,D 0–0,Everton,Crystal Palace,Y,FW,89,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,/en/matches/25f6dcd1/Crystal-Palace-Everton-April-22-2023-Premier-League
12,2022-10-09,Thu,Matchweek 33,Home,L 1–4,Everton,Newcastle Utd,Y,FW,80,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,/en/matches/37a741a7/Everton-Newcastle-United-April-27-2023-Premier-League
13,2022-10-09,Mon,Matchweek 34,Away,D 2–2,Everton,Leicester City,Y,FW,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,/en/matches/95d2cc61/Leicester-City-Everton-May-1-2023-Premier-League
14,2022-10-09,Mon,Matchweek 35,Away,W 5–1,Everton,Brighton,Y,FW,86,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,4,0,/en/matches/bf8d9047/Brighton-and-Hove-Albion-Everton-May-8-2023-Premier-League
15,2022-10-09,Sun,Matchweek 36,Home,L 0–3,Everton,Manchester City,Y,FW,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,/en/matches/704aa0f3/Everton-Manchester-City-May-14-2023-Premier-League
16,2022-10-09,Sat,Matchweek 37,Away,D 1–1,Everton,Wolves,Y,FW,44,1,1,0,0,1,0,0,,0,1,1,0,0,1,0,0,/en/matches/ff2b58c3/Wolverhampton-Wanderers-Everton-May-20-2023-Premier-League
