,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-11,Sun,Premier League,Matchweek 1,Home,W 4–0,Manchester Utd,Chelsea,Y,LW,85,2,0,1,1,3,1,0,0,38.0,3.0,0,1.0,1.2,0.4,0.0,1.0,1.0,13.0,23.0,56.5,3.0,25.0,6.0,0.0,0.0,/en/matches/d0583d0d/Manchester-United-Chelsea-August-11-2019-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-19,Mon,Premier League,Matchweek 2,Away,D 1–1,Manchester Utd,Wolves,Y,LW,88,0,1,0,0,2,0,0,0,49.0,1.0,0,0.0,0.1,0.1,0.1,4.0,1.0,34.0,42.0,81.0,4.0,21.0,3.0,0.0,0.0,/en/matches/d8a7f871/Wolverhampton-Wanderers-Manchester-United-August-19-2019-Premier-League,0.5,0.5,0.7976190476190477
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-24,Sat,Premier League,Matchweek 3,Home,L 1–2,Manchester Utd,Crystal Palace,Y,"LW,AM",90,0,0,0,1,3,1,0,0,52.0,0.0,1,1.0,1.0,0.2,0.0,5.0,1.0,25.0,39.0,64.1,5.0,32.0,2.0,4.0,3.0,/en/matches/7c1c4078/Manchester-United-Crystal-Palace-August-24-2019-Premier-League,0.0,0.5,0.5119047619047619
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-31,Sat,Premier League,Matchweek 4,Away,D 1–1,Manchester Utd,Southampton,Y,FW,90,0,0,0,0,6,2,0,0,37.0,0.0,0,0.0,0.7,0.7,0.1,3.0,0.0,14.0,23.0,60.9,1.0,22.0,0.0,4.0,2.0,/en/matches/bfd4d929/Southampton-Manchester-United-August-31-2019-Premier-League,0.5,0.5,0.5357142857142858
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-09-07,Sat,UEFA Euro Qualifying,Group stage,Home,W 4–0,eng England,bg Bulgaria,Y,FW,90,0,0,0,0,5,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/4cc4d888/England-Bulgaria-September-7-2019-UEFA-Euro-Qualifying,1.0,0.3333333333333333,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-09-10,Tue,UEFA Euro Qualifying,Group stage,Home,W 5–3,eng England,xk Kosovo,N,,6,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/78de671a/England-Kosovo-September-10-2019-UEFA-Euro-Qualifying,1.0,0.5,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-09-14,Sat,Premier League,Matchweek 5,Home,W 1–0,Manchester Utd,Leicester City,Y,FW,90,1,0,1,1,1,0,0,0,28.0,0.0,0,0.0,0.8,0.1,0.0,2.0,1.0,11.0,17.0,64.7,2.0,17.0,2.0,3.0,2.0,/en/matches/6d0266a1/Manchester-United-Leicester-City-September-14-2019-Premier-League,1.0,0.8333333333333334,0.769230769230769
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-09-19,Thu,Europa Lg,Group stage,Home,W 1–0,eng Manchester Utd,kz Astana FK,Y,FW,90,0,0,0,0,5,3,0,0,44.0,2.0,0,1.0,1.4,1.4,0.0,4.0,0.0,23.0,27.0,85.2,3.0,23.0,3.0,4.0,1.0,/en/matches/e824741d/Manchester-United-Astana-FK-September-19-2019-Europa-League,1.0,1.0,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-09-22,Sun,Premier League,Matchweek 6,Away,L 0–2,Manchester Utd,West Ham,Y,FW,60,0,0,0,0,0,0,0,0,22.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,18.0,77.8,0.0,8.0,0.0,2.0,1.0,/en/matches/fe3e2bec/West-Ham-United-Manchester-United-September-22-2019-Premier-League,0.0,1.0,0.7023809523809524
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-09-30,Mon,Premier League,Matchweek 7,Home,D 1–1,Manchester Utd,Arsenal,Y,FW,90,0,1,0,0,3,1,1,0,33.0,1.0,2,1.0,0.3,0.3,0.1,2.0,1.0,12.0,20.0,60.0,1.0,16.0,3.0,0.0,0.0,/en/matches/ce7501cd/Manchester-United-Arsenal-September-30-2019-Premier-League,0.5,0.6666666666666666,0.8571428571428573
