,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-07-31,Sat,Premier League,Matchweek 2,Home,L 1–2,CSKA Moscow,Loko Moscow,N,,23,0,0,0,0,1.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/390ba797/CSKA-Moscow-Lokomotiv-Moscow-July-31-2021-Russian-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-08,Sun,Premier League,Matchweek 3,Away,L 1–2,CSKA Moscow,Dynamo Mosc,Y,AM,82,0,0,0,0,3.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/61326097/Dynamo-Moscow-CSKA-Moscow-August-8-2021-Russian-Premier-League,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-14,Sat,Premier League,Matchweek 4,Away,W 3–1,CSKA Moscow,Rostov,Y,AM,66,0,1,0,0,3.0,2.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/83d3061b/Rostov-CSKA-Moscow-August-14-2021-Russian-Premier-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-08-21,Sat,Premier League,Matchweek 5,Home,W 2–0,CSKA Moscow,Akhmat Grozny,Y,AM,90,0,0,0,0,3.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/5f828cc0/CSKA-Moscow-Akhmat-Grozny-August-21-2021-Russian-Premier-League,1.0,0.3333333333333333,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-08-26,Thu,Premier League,Matchweek 6,Away,L 0–1,CSKA Moscow,Zenit,N,,45,0,0,0,0,2.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/9edd588a/Zenit-CSKA-Moscow-August-26-2021-Russian-Premier-League,0.0,0.6666666666666666,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-01,Wed,WCQ,First round,Away,D 0–0,hr Croatia,ru Russia,Y,DM,90,0,0,0,0,5.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/8188ce4b/Russia-Croatia-September-1-2021-WCQ----UEFA-M,0.5,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-09-04,Sat,WCQ,First round,Away,W 1–0,hr Croatia,sk Slovakia,Y,CM,54,0,0,0,0,2.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/f98b38d7/Slovakia-Croatia-September-4-2021-WCQ----UEFA-M,1.0,0.5,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-09-07,Tue,WCQ,First round,Home,W 3–0,hr Croatia,si Slovenia,N,,33,1,0,0,0,3.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/eaa3b446/Croatia-Slovenia-September-7-2021-WCQ----UEFA-M,1.0,0.5,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-09-11,Sat,Premier League,Matchweek 4,Away,D 0–0,West Ham,Southampton,N,AM,28,0,0,0,0,0.0,0.0,0,0,13.0,1.0,0.0,2.0,0.0,0.0,0.1,2.0,0.0,8.0,8.0,100.0,1.0,6.0,2.0,0.0,0.0,/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League,0.5,0.8333333333333334,0.5384615384615384
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-09-16,Thu,Europa Lg,Group stage,Away,W 2–0,eng West Ham,hr Dinamo Zagreb,Y,RW,68,0,0,0,0,2.0,0.0,0,0,26.0,1.0,0.0,1.0,0.2,0.2,0.0,1.0,0.0,11.0,16.0,68.8,2.0,17.0,1.0,0.0,0.0,/en/matches/e7e7f198/Dinamo-Zagreb-West-Ham-United-September-16-2021-Europa-League,1.0,0.8333333333333334,0.5
